name,rate,duration,tags,decibel,trackbegin,trackend,miss
DJ Spyroof - Potato Inc My Fantasy,3,212.067846,"[""YT""]",100,,,false
DJ Spyroof & DJ Nauzz - Lost In Space,4,302.06839,"[""YT""]",100,,,false
DJ Spyroof & DJ RoFlow - Second Earth,2,183.066122,"[""YT""]",100,,,false
DJ Spyroof & DJ SparkyPlug - The Lost Melody,3,204.056961,"[""YT""]",100,,,false
DJ Spyroof & DJ Splash - It Hits Different,2,213.066304,"[""YT""]",100,,,false
DJ Spyroof & DJ Striden - Golden Star,4,266.05424,"[""YT"",""FAV""]",100,,,false
DJ Spyroof & DJ Supersaw - Fantasy Island,3,200.039909,"[""YT""]",100,,,false
DJ Spyroof & DJ Zekno - It Gets Better,3,241.046349,"[""YT""]",100,,,false
DJ Spyroof & Elijah - All In Stars,3,200.039909,"[""FAV"",""YT""]",100,,,false
DJ Spyroof & Elijah - The Way To Go,3,218.058594,"[""YT""]",100,,,false
DJ Striden - Above the Clouds,2,201.317007,"[""YT""]",100,,,false
DJ Striden - ACE [Melodic EDM],3,236.936417,"[""YT""]",100,,,false
DJ Striden - Activate [Dream Trance],3,240.094331,"[""YT""]",100,,,false
DJ Striden - Aether Magic [Dream Trance],3,214.064762,"[""YT""]",100,,,false
DJ Striden - Anime and Techno [Techno Dream Trance],2,230.992109,"[""YT""]",100,,,false
DJ Striden - Aud0,2,338.570159,"[""YT""]",100,,,false
DJ Striden - Aud10 [Melodic EDM],2,319.947755,"[""YT""]",100,,,false
DJ Striden - Beats Are Heaven [Techno Dream Trance],3,283.097687,"[""YT""]",100,,,false
DJ Striden - Beyond The Universe [Trance],4,217.594195,"[""YT""]",100,151.85,182.3,false
DJ Striden - Blizzard [Melodic EDM],3,172.965442,"[""YT""]",100,,,false
DJ Striden - Born 2 Bounce [Melodic Bounce],3,240.071111,"[""YT""]",100,,,false
DJ Striden - Born To Bounce Techno Bounce,3,213.414603,"[""YT""]",100,,,false
DJ Striden - Butterfly,2,365.203447,"[""YT""]",100,,,false
DJ Striden - Candy Cane World [Candy Trance],1,204.930612,"[""YT""]",100,,,true
DJ Striden - Catalyst Electro,3,190.728707,"[""GEO""]",100,,,false
DJ Striden - Charisma [Melodic EDM],4,237.818776,"[""YT""]",100,,,false
DJ Striden - Dark City Night Electro,3,,"[""NEW""]",100,,,true
DJ Striden - Density [Melodic EDM],4,192.354104,"[""YT""]",100,,,false
DJ Striden - Dream 3,2,210.674649,"[""YT""]",100,,,false
DJ Striden - Dream 4 Hands Up,3,195.512018,"[""YT""]",100,,,false
DJ Striden - Drop The Beat [Electro],1,216.618957,"[""YT""]",100,,,false
DJ Striden - Eclipse 2 [Severe Epilepsy Warning] (Light Show Version),3,240.094331,"[""NEW""]",100,,,false
DJ Striden - Eclipse 2 [Tech-House],3,240.094331,"[""YT""]",100,,,false
DJ Striden - Electro Blue Electro,4,183.576961,"[""YT""]",100,,,false
DJ Striden - Enigma [Dream Step],3,300.396553,"[""YT""]",100,,,false
DJ Striden - Epiphany [Trance Drive],3,370.845896,"[""YT""]",100,,,false
